행정동,분기,임대료(천원/㎡)
명동,20253,77.2
명동,20254,77.9
필동,20211,83.2
필동,20212,80.4
필동,20213,78.7
필동,20214,76.9
필동,20221,75.9
필동,20222,76
필동,20223,76
필동,20224,77.4
필동,20231,79.1
필동,20232,78.4
필동,20233,78.8
필동,20234,79.6
필동,20241,80.4
필동,20242,81.3
필동,20243,76.8
필동,20244,77
필동,20244,77.9
필동,20251,77
필동,20252,77.2
필동,20253,77.2
필동,20254,77.9
장충동,20211,83.2
장충동,20212,80.4
장충동,20213,78.7
장충동,20214,76.9
장충동,20221,75.9
장충동,20222,76
장충동,20223,76
장충동,20224,77.4
장충동,20231,79.1
장충동,20232,78.4
장충동,20233,78.8
장충동,20234,79.6
장충동,20241,80.4
장충동,20242,81.3
장충동,20243,76.8
장충동,20244,77
장충동,20244,77.9
장충동,20251,77
장충동,20252,77.2
장충동,20253,77.2
장충동,20254,77.9
광희동,20211,83.2
광희동,20212,80.4
광희동,20213,78.7
광희동,20214,76.9
광희동,20221,75.9
광희동,20222,76
광희동,20223,76
광희동,20224,77.4
광희동,20231,79.1
광희동,20232,78.4
광희동,20233,78.8
광희동,20234,79.6
광희동,20241,80.4
광희동,20242,81.3
광희동,20243,76.8
광희동,20244,77
광희동,20244,77.9
광희동,20251,77
광희동,20252,77.2
광희동,20253,77.2
광희동,20254,77.9
을지로동,20211,83.2
을지로동,20212,80.4
을지로동,20213,78.7
을지로동,20214,76.9
을지로동,20221,75.9
을지로동,20222,76
을지로동,20223,76
을지로동,20224,77.4
을지로동,20231,79.1
을지로동,20232,78.4
을지로동,20233,78.8
을지로동,20234,79.6
을지로동,20241,80.4
을지로동,20242,81.3
을지로동,20243,76.8
을지로동,20244,77
을지로동,20244,77.9
을지로동,20251,77
을지로동,20252,77.2
을지로동,20253,77.2
을지로동,20254,77.9
신당동,20211,83.2
신당동,20212,80.4
신당동,20213,78.7
신당동,20214,76.9
신당동,20221,75.9
신당동,20222,76
신당동,20223,76
신당동,20224,77.4
신당동,20231,79.1
신당동,20232,78.4
신당동,20233,78.8
신당동,20234,79.6
신당동,20241,80.4
신당동,20242,81.3
신당동,20243,76.8
신당동,20244,77
신당동,20244,77.9
신당동,20251,77
신당동,20252,77.2
신당동,20253,77.2
신당동,20254,77.9
다산동,20211,83.2
다산동,20212,80.4
다산동,20213,78.7
다산동,20214,76.9
다산동,20221,75.9
다산동,20222,76
다산동,20223,76
다산동,20224,77.4
다산동,20231,79.1
다산동,20232,78.4
다산동,20233,78.8
다산동,20234,79.6
다산동,20241,80.4
다산동,20242,81.3
다산동,20243,76.8
다산동,20244,77
다산동,20244,77.9
다산동,20251,77
다산동,20252,77.2
다산동,20253,77.2
다산동,20254,77.9
약수동,20211,83.2
약수동,20212,80.4
약수동,20213,78.7
약수동,20214,76.9
약수동,20221,75.9
약수동,20222,76
약수동,20223,76
약수동,20224,77.4
약수동,20231,79.1
약수동,20232,78.4
약수동,20233,78.8
약수동,20234,79.6
약수동,20241,80.4
약수동,20242,81.3
약수동,20243,76.8
약수동,20244,77
약수동,20244,77.9
약수동,20251,77
약수동,20252,77.2
약수동,20253,77.2
약수동,20254,77.9
청구동,20211,83.2
청구동,20212,80.4
청구동,20213,78.7
청구동,20214,76.9
청구동,20221,75.9
청구동,20222,76
청구동,20223,76
청구동,20224,77.4
청구동,20231,79.1
청구동,20232,78.4
청구동,20233,78.8
청구동,20234,79.6
청구동,20241,80.4
청구동,20242,81.3
청구동,20243,76.8
청구동,20244,77
청구동,20244,77.9
청구동,20251,77
청구동,20252,77.2
청구동,20253,77.2
청구동,20254,77.9
신당5동,20211,83.2
신당5동,20212,80.4
신당5동,20213,78.7
신당5동,20214,76.9
신당5동,20221,75.9
신당5동,20222,76
신당5동,20223,76
신당5동,20224,77.4
신당5동,20231,79.1
신당5동,20232,78.4
신당5동,20233,78.8
신당5동,20234,79.6
신당5동,20241,80.4
신당5동,20242,81.3
신당5동,20243,76.8
신당5동,20244,77
신당5동,20244,77.9
신당5동,20251,77
신당5동,20252,77.2
신당5동,20253,77.2
신당5동,20254,77.9
동화동,20211,83.2
동화동,20212,80.4
동화동,20213,78.7
동화동,20214,76.9
동화동,20221,75.9
동화동,20222,76
동화동,20223,76
동화동,20224,77.4
동화동,20231,79.1
동화동,20232,78.4
동화동,20233,78.8
동화동,20234,79.6
동화동,20241,80.4
동화동,20242,81.3
동화동,20243,76.8
동화동,20244,77
동화동,20244,77.9
동화동,20251,77
동화동,20252,77.2
동화동,20253,77.2
동화동,20254,77.9
황학동,20211,83.2
황학동,20212,80.4
황학동,20213,78.7
황학동,20214,76.9
황학동,20221,75.9
황학동,20222,76
황학동,20223,76
황학동,20224,77.4
황학동,20231,79.1
황학동,20232,78.4
황학동,20233,78.8
황학동,20234,79.6
황학동,20241,80.4
황학동,20242,81.3
황학동,20243,76.8
황학동,20244,77
황학동,20244,77.9
황학동,20251,77
황학동,20252,77.2
황학동,20253,77.2
황학동,20254,77.9
중림동,20211,83.2
중림동,20212,80.4
중림동,20213,78.7
중림동,20214,76.9
중림동,20221,75.9
중림동,20222,76
중림동,20223,76
중림동,20224,77.4
중림동,20231,79.1
중림동,20232,78.4
중림동,20233,78.8
중림동,20234,79.6
중림동,20241,80.4
중림동,20242,81.3
중림동,20243,76.8
중림동,20244,77
중림동,20244,77.9
중림동,20251,77
중림동,20252,77.2
