행정동,수요_점수,구매력_점수,리스크_점수,종합_점수,클러스터,클러스터_세분화
상도4동,43.37,1.57,4.43,13.59,0,0
위례동,29.98,11.27,6.35,13.58,1,0
등촌3동,28.79,6.28,9.42,13.55,1,0
불광2동,46.18,0.77,3.27,13.53,0,3
잠실3동,25.48,10.68,8.82,13.51,1,0
자양1동,36.91,2.24,7.22,13.5,0,0
둔촌2동,34.54,4.26,7.37,13.48,0,0
행운동,32.42,5.39,7.78,13.43,0,0
도화동,24.63,11.32,8.71,13.41,1,1
사근동,19.07,9.75,12.33,13.39,1,1
왕십리도선동,26.94,5.66,10.21,13.31,1,0
송천동,37.08,1.58,7.01,13.28,0,0
명일1동,27.49,6.69,9.32,13.27,1,0
개봉2동,38.9,3.99,4.71,13.21,0,0
미성동,39.54,1.87,5.43,13.2,0,0
자양4동,25.63,3.97,11.17,13.03,1,0
화곡4동,40.05,1.8,4.84,13.01,0,0
도곡1동,25.58,9.47,8.22,12.94,1,0
삼청동,3.57,21.36,13.31,12.86,1,1
상도3동,39.08,2.1,4.85,12.85,0,0
용강동,22.09,9.28,9.83,12.8,1,1
자양2동,34.68,3.17,6.3,12.71,0,0
남영동,14.99,11.13,12.32,12.7,1,1
후암동,29.09,4.44,8.47,12.69,1,0
개포4동,31.89,5.35,6.53,12.67,1,0
도봉1동,33.27,2.19,7.13,12.52,0,0
목3동,33.9,4.2,5.69,12.48,0,0
방이1동,25.71,5.51,9.19,12.46,1,0
문정1동,31.03,3.96,7.19,12.43,1,0
월계1동,30.73,3.83,7.38,12.41,1,0
중곡2동,32.77,1.74,7.05,12.24,1,0
상도2동,31.64,5.05,5.88,12.21,1,0
가회동,11.12,13.99,11.77,12.16,1,1
수유1동,38.31,0.35,4.73,12.15,0,0
방화2동,28.81,1.92,8.79,12.14,1,0
수궁동,39.01,1.79,3.54,12.1,0,0
독산3동,36.81,1.13,4.99,12.1,0,0
창2동,38.72,0.98,3.98,12.04,0,0
보라매동,30.45,3.26,7.04,12.03,1,0
아현동,22.92,9.37,7.77,12.02,1,1
창5동,27.6,5.74,7.21,12.02,1,0
대림3동,31.82,2.91,6.01,11.78,1,0
난곡동,39.13,1.51,2.73,11.66,0,0
이태원1동,15.87,10.55,9.91,11.58,1,1
쌍문1동,34.0,1.92,4.91,11.54,0,0
천호3동,28.76,2.94,7.01,11.51,1,0
신수동,24.89,7.05,6.78,11.44,1,1
홍제1동,33.54,3.07,4.35,11.43,1,0
정릉4동,34.52,2.86,3.93,11.43,0,0
중화2동,32.15,0.42,6.25,11.36,1,0
화곡3동,28.65,5.48,5.42,11.33,1,0
번1동,27.32,2.68,7.49,11.31,1,0
상계5동,30.85,1.86,5.95,11.24,1,0
정릉2동,33.72,2.45,4.16,11.23,1,0
고척1동,26.7,4.05,6.93,11.22,1,0
다산동,27.93,2.59,7.0,11.2,1,0
고척2동,34.18,1.78,4.17,11.19,0,0
조원동,25.76,2.94,7.77,11.12,1,0
원효로1동,19.52,8.1,8.33,11.11,1,1
답십리1동,26.66,4.82,6.25,11.07,1,0
강일동,30.89,4.29,4.34,11.06,1,0
길음1동,30.9,5.07,3.92,11.06,1,0
상봉1동,28.04,2.95,6.44,11.05,1,0
성수1가1동,16.73,6.16,10.51,10.99,1,1
개봉3동,33.43,1.25,4.1,10.83,1,0
사당3동,27.82,4.69,5.22,10.82,1,0
대치1동,17.25,18.38,3.58,10.77,1,1
영등포본동,24.79,4.94,6.44,10.72,1,1
면목2동,30.1,0.78,5.78,10.7,1,0
장위1동,35.16,0.52,3.32,10.7,0,0
풍납2동,29.09,4.22,4.28,10.56,1,0
양평1동,16.35,6.12,9.82,10.54,1,1
중계본동,24.85,6.12,5.42,10.53,1,1
수유2동,32.32,0.89,4.15,10.48,1,0
신월7동,36.14,0.48,2.39,10.47,0,0
용산2가동,18.65,2.67,10.21,10.46,1,1
행당1동,21.31,5.96,7.18,10.46,1,1
월곡1동,28.26,3.61,4.75,10.43,1,0
월곡2동,21.84,5.11,7.25,10.41,1,1
휘경2동,25.37,2.27,6.79,10.37,1,1
서림동,28.86,1.69,5.28,10.36,1,0
방배3동,26.03,5.95,4.51,10.33,1,1
면목7동,28.01,3.11,4.94,10.33,1,0
화곡2동,35.35,0.35,2.46,10.28,0,0
삼양동,34.2,0.49,2.76,10.17,1,0
남현동,25.62,4.3,5.05,10.08,1,1
송파2동,22.29,6.46,5.59,10.05,1,1
중곡3동,24.33,2.71,6.44,10.04,1,1
하계1동,25.13,4.05,5.21,9.97,1,1
신정7동,22.6,8.01,4.24,9.85,1,1
신길6동,23.13,4.14,5.93,9.85,1,1
신월1동,30.92,0.23,3.94,9.85,1,0
염리동,16.45,7.6,7.58,9.84,1,1
등촌2동,28.37,2.92,3.79,9.81,1,0
평창동,26.01,5.21,3.8,9.79,1,1
월계3동,28.62,2.21,3.97,9.78,1,0
중계1동,24.32,6.07,4.1,9.73,1,1
명일2동,15.94,11.77,5.44,9.69,1,1
개포2동,23.75,7.87,3.41,9.69,1,1
창1동,24.59,4.4,4.74,9.69,1,1
신당동,15.86,5.09,8.7,9.61,1,1
성현동,27.29,2.68,3.74,9.45,1,0
이태원2동,15.15,4.4,9.0,9.4,1,1
신정1동,18.38,7.02,5.94,9.37,1,1
오류1동,28.16,2.05,3.46,9.37,1,0
쌍문2동,26.32,1.17,4.74,9.32,1,0
방학2동,29.98,0.48,3.2,9.31,1,0
답십리2동,25.51,3.26,4.04,9.29,1,1
마천2동,27.07,2.82,3.43,9.28,1,0
묵2동,25.22,1.28,5.16,9.28,1,1
번2동,31.15,0.55,2.47,9.27,1,0
삼각산동,24.55,3.94,4.13,9.26,1,1
옥수동,21.94,6.31,4.05,9.16,1,1
신정2동,19.48,5.96,5.43,9.13,1,1
중곡1동,22.36,1.13,6.35,9.1,1,1
중앙동,22.72,2.79,5.3,9.09,1,1
청량리동,21.16,3.69,5.61,9.07,1,1
돈암2동,24.54,6.88,2.23,9.06,1,1
길음2동,17.17,5.53,6.67,9.05,1,1
응암2동,26.3,2.58,3.49,9.05,1,1
신월2동,28.75,1.27,2.79,9.0,1,0
신정6동,20.38,8.31,3.52,9.0,1,1
신사2동,27.78,1.2,3.26,8.97,1,0
창4동,23.06,4.32,3.91,8.87,1,1
마장동,24.58,3.04,3.58,8.78,1,1
일원본동,21.93,8.75,1.96,8.73,1,1
도봉2동,23.08,1.9,4.65,8.64,1,1
북아현동,23.3,3.94,3.48,8.62,1,1
정릉3동,24.9,2.11,3.56,8.61,1,1
신대방1동,21.68,4.41,4.0,8.59,1,1
반포3동,18.13,10.57,2.51,8.5,1,1
부암동,16.02,4.81,6.38,8.43,1,1
독산2동,25.52,0.47,3.71,8.43,1,1
수서동,10.82,11.5,5.64,8.43,1,1
상일동,13.84,5.55,7.01,8.38,1,1
이촌1동,19.34,10.53,1.66,8.37,1,1
홍제3동,22.8,1.76,4.34,8.37,1,1
신월4동,25.47,1.49,2.9,8.27,1,1
고덕1동,21.15,4.88,3.33,8.24,1,1
월계2동,24.07,1.32,3.61,8.23,1,1
시흥5동,25.42,0.8,3.2,8.23,1,1
쌍문3동,23.61,1.57,3.7,8.22,1,1
중림동,13.46,6.62,6.17,8.14,1,1
홍은1동,21.69,2.55,4.01,8.13,1,1
중화1동,25.66,0.62,2.87,8.09,1,1
신길1동,22.67,2.4,3.24,7.96,1,1
방화3동,20.68,3.82,3.47,7.93,1,1
신원동,22.68,0.64,4.07,7.93,1,1
증산동,23.37,1.99,2.93,7.88,1,1
방학3동,22.66,2.14,3.11,7.83,1,1
교남동,18.12,5.35,3.79,7.82,1,1
북가좌1동,17.94,9.1,1.98,7.82,1,1
시흥4동,27.19,0.71,1.47,7.81,1,0
신월5동,21.84,1.72,3.61,7.76,1,1
독산4동,22.42,0.61,3.85,7.75,1,1
오륜동,16.85,9.35,2.24,7.74,1,1
행당2동,21.45,4.54,2.32,7.73,1,1
중계4동,17.34,3.91,4.67,7.69,1,1
사당4동,22.98,1.34,3.05,7.68,1,1
도림동,20.53,1.79,4.01,7.65,1,1
내곡동,16.7,5.01,4.29,7.62,1,1
숭인2동,19.58,2.04,4.27,7.59,1,1
천연동,18.76,4.74,3.11,7.49,1,1
일원1동,18.48,3.33,3.95,7.48,1,1
암사3동,18.87,5.96,2.4,7.47,1,1
휘경1동,17.46,3.06,4.51,7.44,1,1
하계2동,20.12,8.31,0.42,7.4,1,1
대림2동,20.06,1.54,3.81,7.37,1,1
황학동,17.01,3.91,4.14,7.35,1,1
능동,15.54,3.55,4.99,7.31,1,1
상계8동,23.06,3.46,1.18,7.31,1,1
구로1동,21.21,2.5,2.55,7.27,1,1
고덕2동,16.52,0.64,5.79,7.22,1,1
보문동,16.3,2.93,4.63,7.16,1,1
면목4동,18.96,1.54,3.92,7.14,1,1
약수동,16.51,4.45,3.66,7.12,1,1
전농2동,16.55,3.55,3.92,7.03,1,1
암사2동,15.16,3.92,4.38,7.0,1,1
장충동,15.31,3.31,4.46,6.93,1,1
마천1동,22.76,0.99,1.78,6.91,1,1
반포2동,12.98,9.96,2.14,6.86,1,1
장위2동,20.98,0.53,2.85,6.86,1,1
효창동,17.86,3.56,2.85,6.84,1,1
금호1가동,17.82,3.84,2.71,6.83,1,1
삼성동,23.9,0.78,1.07,6.79,1,1
정릉1동,18.51,2.58,2.83,6.75,1,1
신월3동,20.95,0.47,2.62,6.74,1,1
창3동,19.99,0.0,3.35,6.73,1,1
면목5동,15.74,5.41,2.76,6.72,1,1
용답동,13.24,2.88,5.31,6.71,1,1
신내2동,17.49,2.67,3.17,6.68,1,1
거여2동,18.45,2.51,2.69,6.64,1,1
항동,17.87,1.71,3.39,6.64,1,1
노량진2동,14.61,3.31,4.2,6.61,1,1
잠실4동,13.8,8.09,2.08,6.56,1,1
신길7동,15.84,3.62,3.24,6.53,1,1
가락1동,11.98,8.0,2.95,6.51,1,1
홍제2동,17.39,4.18,2.03,6.47,1,1
대림1동,16.93,1.69,3.41,6.41,1,1
원효로2동,15.23,4.51,2.84,6.4,1,1
용문동,16.53,3.09,2.81,6.36,1,1
신길3동,17.52,1.75,2.86,6.3,1,1
금호4가동,13.38,4.9,3.25,6.23,1,1
응봉동,18.06,3.55,1.42,6.18,1,1
망우3동,18.38,0.43,2.82,6.17,1,1
왕십리2동,14.98,2.8,3.2,6.09,1,1
거여1동,16.53,1.99,2.72,6.04,1,1
가리봉동,20.01,0.32,1.78,6.04,1,1
사당5동,15.6,2.55,2.74,5.96,1,1
둔촌1동,13.46,10.07,0.0,5.95,1,1
시흥3동,19.16,0.61,1.81,5.91,1,1
서빙고동,13.3,4.06,2.82,5.79,1,1
남가좌1동,13.93,4.9,2.0,5.76,1,1
번3동,16.24,1.13,2.73,5.76,1,1
시흥2동,16.55,2.18,1.76,5.62,1,1
쌍문4동,16.3,1.99,1.92,5.59,1,1
이문2동,15.02,1.95,2.48,5.53,1,1
창신2동,16.94,0.15,2.12,5.39,1,1
상계9동,16.62,2.18,1.22,5.37,1,1
돈암1동,16.13,2.7,1.19,5.36,1,1
가양2동,16.26,2.75,1.0,5.31,1,1
청림동,12.3,3.11,2.85,5.31,1,1
창신1동,12.16,1.81,3.52,5.28,1,1
신당5동,12.55,1.92,3.15,5.23,1,1
난향동,15.14,2.13,1.7,5.22,1,1
보광동,12.76,1.46,3.27,5.22,1,1
장위3동,13.92,2.12,2.31,5.21,1,1
개포1동,7.77,11.87,0.48,5.19,1,1
상계10동,14.72,2.17,1.81,5.18,1,1
신월6동,13.11,1.41,2.83,5.08,1,1
청구동,10.85,3.47,2.69,4.96,1,1
수색동,13.73,2.33,1.74,4.93,1,1
동화동,9.68,3.23,3.31,4.91,1,1
일원2동,9.99,5.41,2.04,4.91,1,1
풍납1동,12.9,1.69,1.84,4.61,1,1
신길5동,12.41,1.0,2.14,4.46,1,1
송정동,10.77,0.94,2.9,4.4,1,1
가양3동,11.92,2.57,1.36,4.35,1,1
무악동,6.82,6.11,1.62,4.07,1,1
신길4동,10.91,1.48,1.67,3.97,1,1
잠실7동,6.49,7.8,0.47,3.84,1,1
이촌2동,8.21,2.85,1.33,3.46,1,1
반포본동,0.0,8.58,1.57,2.93,1,1
숭인1동,6.95,1.29,1.43,2.8,1,1
창신3동,5.13,1.57,1.15,2.26,1,1
